Is Superhost,neighbourhood,Neighborhood Group,Latitude,Longitude,Property Type,Room Type,Accomodates,Bathrooms,Bedrooms,Beds,Guests Included,Min Nights,Reviews,Instant Bookable,Business Travel Ready,Price
f,Prenzlauer Berg,Pankow,52.54652,13.41792,Apartment,Private room,2,1.0,1.0,1.0,1,2,6,t,f,26.0
f,Pankow,Pankow,52.56511999999999,13.42214,Apartment,Entire home/apt,2,1.0,2.0,2.0,2,7,6,f,f,41.0
f,Prenzlauer Berg,Pankow,52.54741,13.42521,Apartment,Entire home/apt,3,1.0,1.0,2.0,1,1,2,f,f,50.0
f,Friedrichshain,Friedrichshain-Kreuzberg,52.50958000000001,13.45144,Apartment,Private room,2,1.0,1.0,1.0,1,2,4,f,f,50.0
t,Prenzlauer Berg,Pankow,52.52995,13.41558,Apartment,Private room,3,1.0,1.0,2.0,1,6,0,t,f,55.0
t,Mariendorf,Tempelhof - Sch̦neberg,52.44826,13.40608,Condominium,Private room,3,1.0,1.0,2.0,2,1,10,t,f,39.0
f,Wilmersdorf,Charlottenburg-Wilm.,52.49453000000001,13.32802,Apartment,Entire home/apt,4,1.0,2.0,2.0,2,5,5,f,f,94.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.50021,13.43514,Apartment,Entire home/apt,4,2.0,1.0,2.0,1,6,14,t,f,73.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.49598000000001,13.39327,Apartment,Entire home/apt,2,1.0,2.0,1.0,2,4,13,f,f,100.0
f,Moabit,Mitte,52.53145,13.3171,Apartment,Private room,4,1.0,1.0,4.0,4,6,2,f,f,50.0
f,Wilmersdorf,Charlottenburg-Wilm.,52.47666999999999,13.31001,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,1,2,t,f,50.0
t,Neuk̦lln,Neuk̦lln,52.49554000000001,13.42865,Apartment,Private room,3,1.0,1.0,2.0,2,2,15,f,f,58.0
f,Alt-Treptow,Treptow - K̦penick,52.4938,13.452370000000002,Apartment,Private room,1,1.0,1.0,1.0,1,,6,f,f,25.0
f,Sch̦neberg,Tempelhof - Sch̦neberg,52.492459999999994,13.35544,Apartment,Private room,2,1.0,1.0,1.0,1,3,99,f,f,55.0
f,Reinickendorf,Reinickendorf,52.56551999999999,13.349620000000002,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,4,0,t,f,80.0
f,Mitte,Mitte,52.53551,13.38475,Apartment,Private room,3,1.0,1.0,1.0,1,20,1,f,f,50.0
